name,S,E,I,R
Marancherri__Malappuram,7104,0,0,0
Marangattupilly__Kottayam,17758,0,0,0
Mararikulam North__Alappuzha,31322,0,0,0
Mararikulam South__Alappuzha,53263,0,0,0
Maravanthuruth__Kottayam,21728,0,0,0
Marayoor__Idukki,12399,0,0,0
Mariyapuram__Idukki,12071,0,0,0
Marutharoad__Palakkad,34627,0,0,0
Maruthonkara__Kozhikode,19871,0,0,0
Mathilakam__Thrissur,27833,0,0,0
Mathur__Palakkad,25016,0,0,0
Mattannoor(M)__Kannur,47078,0,0,0
Mattathoor__Thrissur,47875,0,0,0
Mattool__Kannur,27806,0,0,0
Mavelikkara(M)__Alappuzha,26421,0,0,0
MavelikkaraThamarakulam__Alappuzha,27017,0,0,0
MavelikkaraThekkekara__Alappuzha,32373,0,0,0
Mavoor__Kozhikode,29781,0,0,0
Mayyanad__Kollam,51891,0,0,0
Mayyil__Kannur,29649,0,0,0
Mazhuvannur__Ernakulam,34083,0,0,0
Meenachil__Kottayam,16863,0,0,0
Meenadam__Kottayam,13393,0,0,0
Meenangadi__Wayanad,8199,0,0,0
Meencha__Kasaragod,23318,0,0,0
Melarcode__Palakkad,26090,0,0,0
Melattur__Malappuram,5548,0,0,0
Melila__Kollam,21936,0,0,0
Meloor__Thrissur,27659,0,0,0
Melukavu__Kottayam,11476,0,0,0
Meppadi__Wayanad,8661,0,0,0
Meppayur__Kozhikode,27929,0,0,0
Mezhuveli__Pathanamthitta,14535,0,0,0
Mogral-Puthur__Kasaragod,24839,0,0,0
Mokeri__Kannur,19684,0,0,0
Moodadi__Kozhikode,30170,0,0,0
Mookkannoor__Ernakulam,19628,0,0,0
Moonnilavu__Kottayam,8731,0,0,0
Moorkanad__Malappuram,6944,0,0,0
Moothedam__Malappuram,5388,0,0,0
Morayoor__Malappuram,6501,0,0,0
Mudakkal__Thiruvananthapuram,36467,0,0,0
Mudakkuzha__Ernakulam,17355,0,0,0
Muhamma__Alappuzha,25861,0,0,0
Mukkam(M)__Kozhikode,40670,0,0,0
Mulakulam__Kottayam,25798,0,0,0
Mulakuzha__Alappuzha,28280,0,0,0
Mulankunnathukavu__Thrissur,20256,0,0,0
Mulanthuruthy__Ernakulam,21833,0,0,0
Mulavukadu__Ernakulam,25852,0,0,0
Muliyar__Kasaragod,25095,0,0,0
Mullankolli__Wayanad,6929,0,0,0
Mullasseri__Thrissur,21676,0,0,0
Mulloorkkara__Thrissur,20100,0,0,0
Mundakkayam__Kottayam,38445,0,0,0
Munderi__Kannur,37029,0,0,0
Mundoor__Palakkad,30648,0,0,0
Munnar__Idukki,32029,0,0,0
Munniyoor__Malappuram,10176,0,0,0
Muntrothuruthu__Kollam,9440,0,0,0
Mupainad__Wayanad,5562,0,0,0
Muriyad__Thrissur,27059,0,0,0
Muthalamada__Palakkad,37060,0,0,0
Mutholi__Kottayam,16880,0,0,0
Muthukulam__Alappuzha,20740,0,0,0
Muthuthala__Palakkad,24861,0,0,0
Muthuvalloor__Malappuram,4926,0,0,0
Muttar__Alappuzha,9388,0,0,0
Muttil__Wayanad,7998,0,0,0
Muttom__Idukki,10909,0,0,0
Muvattupuzha(M)__Ernakulam,30397,0,0,0
Muzhakkunnu__Kannur,21807,0,0,0
Muzhuppilangad__Kannur,23709,0,0,0
Mylam__Kollam,34090,0,0,0
Mylapra__Pathanamthitta,10258,0,0,0
Mynagappally__Kollam,41027,0,0,0
Nadapuram__Kozhikode,40230,0,0,0
Nadathara__Thrissur,31352,0,0,0
Naduvannur__Kozhikode,25979,0,0,0
Naduvil__Kannur,31190,0,0,0
Nagalasserry__Palakkad,27606,0,0,0
Nagaroor__Thiruvananthapuram,26512,0,0,0
Nalleppilli__Palakkad,32713,0,0,0
Nanmanda__Kozhikode,27316,0,0,0
Nannambra__Malappuram,6984,0,0,0
Nannammukku__Malappuram,6221,0,0,0
Nanniyodu__Thiruvananthapuram,26930,0,0,0
Naranammoozhi__Pathanamthitta,15454,0,0,0
Naranganam__Pathanamthitta,16452,0,0,0
Narath__Kannur,26769,0,0,0
Narikkuni__Kozhikode,24290,0,0,0
Narippatta__Kozhikode,26529,0,0,0
Nattika__Thrissur,19406,0,0,0
Navayikkulam__Thiruvananthapuram,40702,0,0,0
Nayarambalam__Ernakulam,24127,0,0,0
Nedumangad(M)__Thiruvananthapuram,60161,0,0,0
Nedumbassery__Ernakulam,31304,0,0,0
Nedumkandam__Idukki,41980,0,0,0
Nedumkunnam__Kottayam,21700,0,0,0
Nedumpana__Kollam,51384,0,0,0
Nedumpram__Pathanamthitta,12791,0,0,0
Nedumudi__Alappuzha,19701,0,0,0
Neduvathoor__Kollam,29627,0,0,0
Neelamperoor__Alappuzha,13514,0,0,0
Neendakara__Kollam,16976,0,0,0
Neendoor__Kottayam,19903,0,0,0
Nellanadu__Thiruvananthapuram,25981,0,0,0
Nellaya__Palakkad,36146,0,0,0
Nellikuzhy__Ernakulam,41181,0,0,0
Nelliyampathi__Palakkad,5545,0,0,0
Nenmanikkara__Thrissur,22002,0,0,0
Nenmara__Palakkad,36549,0,0,0
Nenmeni__Wayanad,11330,0,0,0
New Mahe__Kannur,16303,0,0,0
Neyyattinkara(M)__Thiruvananthapuram,70850,0,0,0
Nilambur(M)__Malappuram,46345,0,0,0
Nilamel__Kollam,15395,0,0,0
Nileswaram(M)__Kasaragod,39752,0,0,0
Niramaruthoor__Malappuram,5259,0,0,0
Niranam__Pathanamthitta,13445,0,0,0
Njarakkal__Ernakulam,23760,0,0,0
Njeezhoor__Kottayam,17640,0,0,0
Nochad__Kozhikode,26857,0,0,0
Noolpuzha__Wayanad,6510,0,0,0
Nooranadu__Alappuzha,25375,0,0,0
North Paravoor(M)__Ernakulam,31503,0,0,0
Ochira__Kollam,28412,0,0,0
Okkal__Ernakulam,24186,0,0,0
Olavanna__Kozhikode,68432,0,0,0
Omalloor__Pathanamthitta,17611,0,0,0
Omassery__Kozhikode,35009,0,0,0
Onchiyam__Kozhikode,28650,0,0,0
Ongalloor__Palakkad,43271,0,0,0
Oorakam__Malappuram,12589,0,0,0
Orumanayoor__Thrissur,11688,0,0,0
Othukkungal__Malappuram,7084,0,0,0
Ottappalam(M)__Palakkad,53792,0,0,0
Ottasekharamangalam__Thiruvananthapuram,18794,0,0,0
Ottoor__Thiruvananthapuram,16085,0,0,0
Ozhur__Malappuram,6277,0,0,0
Padanna__Kasaragod,22134,0,0,0
Padinjarathara__Wayanad,5788,0,0,0
Padiyoor__Kannur,21524,0,0,0
Padiyoor__Thrissur,18745,0,0,0
Paingottoor__Ernakulam,15441,0,0,0
Paivalike__Kasaragod,34274,0,0,0
Pala(M)__Kottayam,22056,0,0,0
Palakkad(M)__Palakkad,130955,0,0,0
Palakuzha__Ernakulam,13412,0,0,0
Palamel__Alappuzha,32556,0,0,0
Pallarimangalam__Ernakulam,14848,0,0,0
Pallasana__Palakkad,23729,0,0,0
Pallichal__Thiruvananthapuram,45219,0,0,0
Pallikkal__Malappuram,8970,0,0,0
Pallikkal__Pathanamthitta,41737,0,0,0
Pallikkal__Thiruvananthapuram,16900,0,0,0
Pallikkara__Kasaragod,43255,0,0,0
Pallikkathodu__Kottayam,17579,0,0,0
Pallipad__Alappuzha,24625,0,0,0
Pallippuram__Ernakulam,44042,0,0,0
Pallivasal__Idukki,17044,0,0,0
Pampadi__Kottayam,33004,0,0,0
Pampadumpara__Idukki,21172,0,0,0
Pampakkuda__Ernakulam,17672,0,0,0
Panachikkad__Kottayam,42701,0,0,0
Panamaram__Wayanad,10334,0,0,0
Panancheri__Thrissur,45963,0,0,0
Panangad__Kozhikode,33971,0,0,0
Pananthadi__Kasaragod,22976,0,0,0
Panavally__Alappuzha,31570,0,0,0
Panavoor__Thiruvananthapuram,20348,0,0,0
Panayam__Kollam,26825,0,0,0
Pandalam Thekkekara__Pathanamthitta,18366,0,0,0
Pandalam(M)__Pathanamthitta,41954,0,0,0
Pandanadu__Alappuzha,11489,0,0,0
Pandikkadu__Malappuram,10790,0,0,0
Pangod__Thiruvananthapuram,29039,0,0,0
Panjal__Thrissur,25024,0,0,0
Panmana__Kollam,50001,0,0,0
Pannyannoor__Kannur,22308,0,0,0
Panoor(M)__Kannur,57730,0,0,0
Pappinisseri__Kannur,35134,0,0,0
Parakkadavu__Ernakulam,29997,0,0,0
Paralam__Thrissur,24825,0,0,0
Parali__Palakkad,34451,0,0,0
Parappanangadi(M)__Malappuram,70903,0,0,0
Parappukkara__Thrissur,29659,0,0,0
Parappur__Malappuram,6554,0,0,0
Parassala__Thiruvananthapuram,52263,0,0,0
Parathodu__Kottayam,32864,0,0,0
Paravoor(M)__Kollam,37245,0,0,0
Pariyaram__Kannur,32878,0,0,0
Pariyaram__Thrissur,23070,0,0,0
Paruthoor__Palakkad,12170,0,0,0
Pathanamthitta(M)__Pathanamthitta,37538,0,0,0
Pathanapuram__Kollam,31660,0,0,0
Pathiyoor__Alappuzha,33925,0,0,0
Pattambi (M)__Palakkad,28632,0,0,0
Pattanakkad__Alappuzha,34620,0,0,0
Pattancherry__Palakkad,26018,0,0,0
Pattazhi Vadakkekkara__Kollam,15160,0,0,0
Pattazhi__Kollam,17718,0,0,0
Pattiom__Kannur,30502,0,0,0
Pattithara__Palakkad,33157,0,0,0
Pattuvam__Kannur,15659,0,0,0
Pavaratty__Thrissur,20676,0,0,0
Pavithreswaram__Kollam,31810,0,0,0
Payam__Kannur,28196,0,0,0
Payippad__Kottayam,23928,0,0,0
Payipra__Ernakulam,42682,0,0,0
Payyannur(M)__Kannur,72111,0,0,0
Payyavoor__Kannur,22998,0,0,0
Payyoli(M)__Kozhikode,49470,0,0,0
Pazhayakunnummel__Thiruvananthapuram,24608,0,0,0
Pazhayannoor__Thrissur,40256,0,0,0
Peerumedu__Idukki,21712,0,0,0
Peralasseri__Kannur,29107,0,0,0
Perambra__Kozhikode,32784,0,0,0
Peravoor__Kannur,23558,0,0,0
Perayam__Kollam,21236,0,0,0
Perinadu__Kollam,33955,0,0,0
Peringammala__Thiruvananthapuram,27667,0,0,0
Peringara__Pathanamthitta,21001,0,0,0
Peringom-Vayakkara__Kannur,29374,0,0,0
Peringottukurissi__Palakkad,25075,0,0,0
Perinjanam__Thrissur,21012,0,0,0
Perinthalmanna(M)__Malappuram,49723,0,0,0
Perumanna__Kozhikode,35460,0,0,0
Perumannaklari__Malappuram,4939,0,0,0
Perumatti__Palakkad,30445,0,0,0
Perumbavoor(M)__Ernakulam,28110,0,0,0
Perumkadavila__Thiruvananthapuram,23385,0,0,0
Perumpadappu__Malappuram,5876,0,0,0
Perumpalam__Alappuzha,9733,0,0,0
Peruvalloor__Malappuram,6411,0,0,0
Peruvanthanam__Idukki,15626,0,0,0
Peruvayal__Kozhikode,47700,0,0,0
Peruvembu__Palakkad,19312,0,0,0
Pilicode__Kasaragod,25122,0,0,0
Pinarayi__Kannur,33706,0,0,0
Pindimana__Ernakulam,16519,0,0,0
Piravanthoor__Kollam,33914,0,0,0
Piravom(M)__Ernakulam,27229,0,0,0
Pirayiri__Palakkad,41359,0,0,0
Polpulli__Palakkad,16500,0,0,0
Ponmala__Malappuram,6237,0,0,0
Ponmundam__Malappuram,4625,0,0,0
Ponnani(M)__Malappuram,90491,0,0,0
Pookkottukavu__Palakkad,14427,0,0,0
Pookkottur__Malappuram,7032,0,0,0
Poomangalam__Thrissur,12541,0,0,0
Poonjar Thekkekara__Kottayam,17588,0,0,0
Poonjar__Kottayam,12649,0,0,0
Poothadi__Wayanad,9800,0,0,0
Poothakulam__Kollam,29453,0,0,0
Poothrika__Ernakulam,21053,0,0,0
Poovachal__Thiruvananthapuram,43610,0,0,0
Poovar__Thiruvananthapuram,19628,0,0,0
Pooyappalli__Kollam,24447,0,0,0
Porkkulam__Thrissur,16339,0,0,0
Poroor__Malappuram,5907,0,0,0
Poruvazhy__Kollam,28722,0,0,0
Pothanikkad__Ernakulam,10221,0,0,0
Pothencodu__Thiruvananthapuram,29370,0,0,0
Pothukallu__Malappuram,6072,0,0,0
Poyya__Thrissur,22490,0,0,0
Pozhuthana__Wayanad,4256,0,0,0
Pramadam__Pathanamthitta,31251,0,0,0
Pulamanthol__Malappuram,7387,0,0,0
Pulikkal__Malappuram,7611,0,0,0
Pulimathu__Thiruvananthapuram,32293,0,0,0
Pulinkunnu__Alappuzha,20947,0,0,0
Puliyoor__Alappuzha,16668,0,0,0
Pullampara__Thiruvananthapuram,21817,0,0,0
Pullur-Periya__Kasaragod,29642,0,0,0
Pulpalli__Wayanad,8414,0,0,0
Pulpatta__Malappuram,7973,0,0,0
Punaloor(M)__Kollam,46702,0,0,0
Punnapra North__Alappuzha,28749,0,0,0
Punnapra South__Alappuzha,28377,0,0,0
Punnayoor__Thrissur,33368,0,0,0
Punnayoorkkulam__Thrissur,21416,0,0,0
Purakkad__Alappuzha,29782,0,0,0
Puramattom__Pathanamthitta,14069,0,0,0
Purameri__Kozhikode,27612,0,0,0
Purappuzha__Idukki,11836,0,0,0
Purathur__Malappuram,5787,0,0,0
Puthenchira__Thrissur,23375,0,0,0
Puthenvelikara__Ernakulam,28227,0,0,0
Puthige__Kasaragod,21823,0,0,0
Puthukkad__Thrissur,36722,0,0,0
Puthukkode__Palakkad,21642,0,0,0
Puthunagaram__Palakkad,17892,0,0,0
Puthupalli__Kottayam,29784,0,0,0
Puthupariyaram__Palakkad,39428,0,0,0
Puthuppadi__Kozhikode,42083,0,0,0
Puthur__Palakkad,26638,0,0,0
Puthusseri__Palakkad,51185,0,0,0
Puttoor__Thrissur,49284,0,0,0
Puzhakkattiri__Malappuram,5883,0,0,0
Rajakkad__Idukki,15198,0,0,0
Rajakumari__Idukki,16086,0,0,0
Ramamangalam__Ernakulam,14850,0,0,0
Ramanattukara(M)__Kozhikode,35937,0,0,0
Ramankari__Alappuzha,13332,0,0,0
Ramanthali__Kannur,25711,0,0,0
Ramapuram__Kottayam,29395,0,0,0
Ranni Angadi__Pathanamthitta,14855,0,0,0
Ranni Pazhavangadi__Pathanamthitta,24468,0,0,0
Ranni Perunnadu__Pathanamthitta,20561,0,0,0
Ranni__Pathanamthitta,13445,0,0,0
Rayamangalam__Ernakulam,36722,0,0,0
Santhanpara__Idukki,15632,0,0,0
Sasthamkotta__Kollam,33285,0,0,0
Seethathodu__Pathanamthitta,15773,0,0,0
Senapathi__Idukki,12529,0,0,0
Sholayur__Palakkad,17207,0,0,0
Shornur(M)__Palakkad,43533,0,0,0
Sooranadu North__Kollam,28471,0,0,0
Sooranadu South__Kollam,24766,0,0,0
Sreekandapuram(M)__Kannur,33489,0,0,0
Sreekrishnapuram__Palakkad,21873,0,0,0
Sreemoolanagaram__Ernakulam,25708,0,0,0
Sreenarayanapuram__Thrissur,37959,0,0,0
Sulthan Bathery(M)__Wayanad,45417,0,0,0
Thachampara__Palakkad,18087,0,0,0
Thachanattukara__Palakkad,26669,0,0,0
Thaikattussery__Alappuzha,20874,0,0,0
Thakazhi__Alappuzha,18826,0,0,0
Thalakkad__Malappuram,6883,0,0,0
Thalakulathur__Kozhikode,29388,0,0,0
Thalanad__Kottayam,7029,0,0,0
Thalappalam__Kottayam,13361,0,0,0
Thalasseri(M)__Kannur,92558,0,0,0
Thalavadi__Alappuzha,20459,0,0,0
Thalavoor__Kollam,34228,0,0,0
Thalayazham__Kottayam,20151,0,0,0
Thalayolaparambu__Kottayam,22571,0,0,0
Thalikkulam__Thrissur,25507,0,0,0
Thaliparambu(M)__Kannur,38474,0,0,0
Thamarassery__Kozhikode,35706,0,0,0
Thanalur__Malappuram,8844,0,0,0
Thanneermukkam__Alappuzha,42302,0,0,0
Thannithode__Pathanamthitta,13012,0,0,0
Thannyam__Thrissur,29238,0,0,0
Thanur(M)__Malappuram,69870,0,0,0
Thariyod__Wayanad,2734,0,0,0
Tharur__Palakkad,26178,0,0,0
Thavanoor__Malappuram,6924,0,0,0
Thavinjal__Wayanad,9257,0,0,0
Thazhakkara__Alappuzha,35989,0,0,0
Thazhava__Kollam,40571,0,0,0
Thazhekkod__Malappuram,7951,0,0,0
Theekoyi__Kottayam,10852,0,0,0
Thekkumbhagam__Kollam,16937,0,0,0
Thekkumkara__Thrissur,29511,0,0,0
Thenjippalam__Malappuram,6782,0,0,0
Thenkara__Palakkad,29527,0,0,0
Thenkurissi__Palakkad,27196,0,0,0
Thenmala__Kollam,23555,0,0,0
Thennala__Malappuram,5130,0,0,0
Thevalakkara__Kollam,42977,0,0,0
Thidanad__Kottayam,20752,0,0,0
Thikkodi__Kozhikode,27051,0,0,0
Thillankeri__Kannur,14583,0,0,0
Thirumaradi__Ernakulam,17585,0,0,0
Thirumittakode__Palakkad,31998,0,0,0
Thirunavaya__Malappuram,8484,0,0,0
Thirunelli__Wayanad,6902,0,0,0
Thirupuram__Thiruvananthapuram,18898,0,0,0
Thirur(M)__Malappuram,56058,0,0,0
Thirurangadi(M)__Malappuram,56632,0,0,0
Thiruvaali__Malappuram,6086,0,0,0
Thiruvalla(M)__Pathanamthitta,52883,0,0,0
Thiruvallur__Kozhikode,35598,0,0,0
Thiruvambadi__Kozhikode,28820,0,0,0
Thiruvananthapuram(C)__Thiruvananthapuram,966856,0,0,0
Thiruvaniyoor__Ernakulam,25171,0,0,0
Thiruvanvandoor__Alappuzha,14701,0,0,0
Thiruvarppu__Kottayam,29435,0,0,0
Thiruvengappura__Palakkad,33942,0,0,0
Thiruvilwamala__Thrissur,28544,0,0,0
Thodiyoor__Kollam,47607,0,0,0
Thodupuzha(M)__Idukki,42546,0,0,0
Tholikkodu__Thiruvananthapuram,25274,0,0,0
Tholoor__Thrissur,18431,0,0,0
Thondernadu__Wayanad,5280,0,0,0
Thottapuzhassery__Pathanamthitta,14469,0,0,0
Thrikkakkara(M)__Ernakulam,77319,0,0,0
Thrikkalangod__Malappuram,10415,0,0,0
Thrikkarippur__Kasaragod,38687,0,0,0
Thrikkaruva__Kollam,25432,0,0,0
Thrikkovilvattom__Kollam,61287,0,0,0
Thrikkunnapuzha__Alappuzha,26679,0,0,0
Thrikodithanam__Kottayam,35906,0,0,0
Thrikoor__Thrissur,27874,0,0,0
Thrippunithura(M)__Ernakulam,92550,0,0,0
Thriprangod__Malappuram,7821,0,0,0
Thriprangottur__Kannur,29911,0,0,0
Thrissur(C)__Thrissur,315957,0,0,0
Thrithala__Palakkad,27796,0,0,0
Thumpamon__Pathanamthitta,7566,0,0,0
Thuneri__Kozhikode,23421,0,0,0
Thuravoor__Alappuzha,28802,0,0,0
Thuravoor__Ernakulam,21468,0,0,0
Thurayur__Kozhikode,14176,0,0,0
Thuvvoor__Malappuram,7684,0,0,0
Trikkadeeri__Palakkad,26662,0,0,0
TV Puram__Kottayam,19511,0,0,0
Udayagiri__Kannur,18804,0,0,0
Udayamperoor__Ernakulam,39538,0,0,0
Udayanapuram__Kottayam,25612,0,0,0
Uduma__Kasaragod,37537,0,0,0
Udumpanchola__Idukki,14059,0,0,0
Udumpannoor__Idukki,23859,0,0,0
Ulikkal__Kannur,35429,0,0,0
Ulliyeri__Kozhikode,32509,0,0,0
Ummannoor__Kollam,33790,0,0,0
Unnikkulam__Kozhikode,49348,0,0,0
Upputhara__Idukki,26236,0,0,0
Urangattiri__Malappuram,8300,0,0,0
Uzhamalakkal__Thiruvananthapuram,21472,0,0,0
Uzhavoor__Kottayam,14339,0,0,0
Vadakara(M)__Kozhikode,75295,0,0,0
Vadakarapathy__Palakkad,26459,0,0,0
Vadakkancherri__Palakkad,35969,0,0,0
Vadakkancherri(M)__Thrissur,61341,0,0,0
Vadakkekara__Ernakulam,32745,0,0,0
Vadakkekkadu__Thrissur,26109,0,0,0
Vadanappilly__Thrissur,30184,0,0,0
Vadasserikkara__Pathanamthitta,21755,0,0,0
Vadavannoor__Palakkad,17126,0,0,0
Vadavucode Puthenkurissu__Ernakulam,24911,0,0,0
Vaikom(M)__Kottayam,23234,0,0,0
Vakathanam__Kottayam,33550,0,0,0
Vakkam__Thiruvananthapuram,16533,0,0,0
Valakom__Ernakulam,18308,0,0,0
Valancherri(M)__Malappuram,40318,0,0,0
Valapattanam__Kannur,7955,0,0,0
Valappad__Thrissur,35237,0,0,0
Valavannoor__Malappuram,6151,0,0,0
Valayam__Kozhikode,18374,0,0,0
Valiyaparampa__Kasaragod,12790,0,0,0
Vallachira__Thrissur,20233,0,0,0
Vallappuzha__Palakkad,28018,0,0,0
Vallathol Nagar__Thrissur,26133,0,0,0
Vallikkode__Pathanamthitta,20287,0,0,0
Vallikunnam__Alappuzha,30394,0,0,0
Vallikunnu__Malappuram,9859,0,0,0
Vamanpuram__Thiruvananthapuram,21038,0,0,0
Vandanmedu__Idukki,30567,0,0,0
Vandazhi__Palakkad,31929,0,0,0
Vandiperiyar__Idukki,40809,0,0,0
Vanimal__Kozhikode,25412,0,0,0
Vaniyamkulam__Palakkad,32050,0,0,0
Vannappuram__Idukki,28900,0,0,0
Varantharappilli__Thrissur,40892,0,0,0
Varapetty__Ernakulam,18529,0,0,0
Varapuzha__Ernakulam,26750,0,0,0
Varavoor__Thrissur,20045,0,0,0
Varkala(M)__Thiruvananthapuram,40048,0,0,0
Vathikudi__Idukki,27670,0,0,0
Vattamkulam__Malappuram,7454,0,0,0
Vattavada__Idukki,5697,0,0,0
Vayalar__Alappuzha,24804,0,0,0
Vazhakkad__Malappuram,7435,0,0,0
Vazhakkulam__Ernakulam,41521,0,0,0
Vazhappally__Kottayam,35800,0,0,0
Vazhathoppu__Idukki,19723,0,0,0
Vazhayoor__Malappuram,6468,0,0,0
Vazhikkadavu__Malappuram,9972,0,0,0
Vazhoor__Kottayam,25169,0,0,0
Vechoor__Kottayam,17041,0,0,0
Vechuchira__Pathanamthitta,21627,0,0,0
Veeyapuram__Alappuzha,11320,0,0,0
Velinalloor__Kollam,28864,0,0,0
Veliyam__Kollam,32030,0,0,0
Veliyamcod__Malappuram,6211,0,0,0
Veliyanad__Alappuzha,12501,0,0,0
Veliyannoor__Kottayam,11195,0,0,0
Vellamunda__Wayanad,8796,0,0,0
Vellanad__Thiruvananthapuram,31156,0,0,0
Vellangalloor__Thrissur,38243,0,0,0
Vellarada__Thiruvananthapuram,40206,0,0,0
Vellathooval__Idukki,25701,0,0,0
Vellavoor__Kottayam,17115,0,0,0
Vellinezhi__Palakkad,17101,0,0,0
Velliyamattam__Idukki,21440,0,0,0
Velloor__Kottayam,22785,0,0,0
Velom__Kozhikode,26738,0,0,0
Velookkara__Thrissur,29207,0,0,0
Veloor__Thrissur,27633,0,0,0
Vembayam__Thiruvananthapuram,38630,0,0,0
Vengad__Kannur,38606,0,0,0
Venganoor__Thiruvananthapuram,35963,0,0,0
Vengapalli__Wayanad,2676,0,0,0
Vengara__Malappuram,8506,0,0,0
Vengola__Ernakulam,50476,0,0,0
Vengoor__Ernakulam,21937,0,0,0
Venkidangu__Thrissur,25118,0,0,0
Venmony__Alappuzha,19932,0,0,0
Vettathur__Malappuram,5348,0,0,0
Vettikkavala__Kollam,36204,0,0,0
Vettom__Malappuram,6577,0,0,0
Vettoor__Thiruvananthapuram,18704,0,0,0
Vijayapuram__Kottayam,30838,0,0,0
Vilakudi__Kollam,32995,0,0,0
Vilappil__Thiruvananthapuram,36212,0,0,0
Vilavoorkal__Thiruvananthapuram,31761,0,0,0
Vilayoor__Palakkad,23389,0,0,0
Villiyappally__Kozhikode,34502,0,0,0
Vithura__Thiruvananthapuram,26249,0,0,0
Vorkady__Kasaragod,25756,0,0,0
Vythiri__Wayanad,4159,0,0,0
Wandoor__Malappuram,10239,0,0,0
West Eleri__Kasaragod,29316,0,0,0
West Kallada__Kollam,18176,0,0,0