name,type,N
Marancherri__Malappuram,P,7104
Marangattupilly__Kottayam,P,17758
Mararikulam North__Alappuzha,P,31322
Mararikulam South__Alappuzha,P,53263
Maravanthuruth__Kottayam,P,21728
Marayoor__Idukki,P,12399
Mariyapuram__Idukki,P,12071
Marutharoad__Palakkad,P,34627
Maruthonkara__Kozhikode,P,19871
Mathilakam__Thrissur,P,27833
Mathur__Palakkad,P,25016
Mattannoor(M)__Kannur,M,4778
Mattathoor__Thrissur,P,47875
Mattool__Kannur,P,27806
Mavelikkara(M)__Alappuzha,M,26421
MavelikkaraThamarakulam__Alappuzha,P,27017
MavelikkaraThekkekara__Alappuzha,P,32373
Mavoor__Kozhikode,P,29781
Mayyanad__Kollam,P,51891
Mayyil__Kannur,P,29649
Mazhuvannur__Ernakulam,P,34083
Meenachil__Kottayam,P,16863
Meenadam__Kottayam,P,13393
Meenangadi__Wayanad,P,8199
Meencha__Kasaragod,P,23318
Melarcode__Palakkad,P,26090
Melattur__Malappuram,P,5548
Melila__Kollam,P,21936
Meloor__Thrissur,P,27659
Melukavu__Kottayam,P,11476
Meppadi__Wayanad,P,8661
Meppayur__Kozhikode,P,27929
Mezhuveli__Pathanamthitta,P,14535
Mogral-Puthur__Kasaragod,P,24839
Mokeri__Kannur,P,19684
Moodadi__Kozhikode,P,30170
Mookkannoor__Ernakulam,P,19628
Moonnilavu__Kottayam,P,8731
Moorkanad__Malappuram,P,6944
Moothedam__Malappuram,P,5388
Morayoor__Malappuram,P,6501
Mudakkal__Thiruvananthapuram,P,36467
Mudakkuzha__Ernakulam,P,17355
Muhamma__Alappuzha,P,25861
Mukkam(M)__Kozhikode,M,40670
Mulakulam__Kottayam,P,25798
Mulakuzha__Alappuzha,P,28280
Mulankunnathukavu__Thrissur,P,20256
Mulanthuruthy__Ernakulam,P,21833
Mulavukadu__Ernakulam,P,25852
Muliyar__Kasaragod,P,25095
Mullankolli__Wayanad,P,6929
Mullasseri__Thrissur,P,21676
Mulloorkkara__Thrissur,P,20100
Mundakkayam__Kottayam,P,38445
Munderi__Kannur,P,37029
Mundoor__Palakkad,P,30648
Munnar__Idukki,P,32029
Munniyoor__Malappuram,P,10176
Muntrothuruthu__Kollam,P,9440
Mupainad__Wayanad,P,5562
Muriyad__Thrissur,P,27059
Muthalamada__Palakkad,P,37060
Mutholi__Kottayam,P,16880
Muthukulam__Alappuzha,P,20740
Muthuthala__Palakkad,P,24861
Muthuvalloor__Malappuram,P,4926
Muttar__Alappuzha,P,9388
Muttil__Wayanad,P,7998
Muttom__Idukki,P,10909
Muvattupuzha(M)__Ernakulam,M,30397
Muzhakkunnu__Kannur,P,21807
Muzhuppilangad__Kannur,P,23709
Mylam__Kollam,P,34090
Mylapra__Pathanamthitta,P,10258
Mynagappally__Kollam,P,41027
Nadapuram__Kozhikode,P,40230
Nadathara__Thrissur,P,31352
Naduvannur__Kozhikode,P,25979
Naduvil__Kannur,P,31190
Nagalasserry__Palakkad,P,27606
Nagaroor__Thiruvananthapuram,P,26512
Nalleppilli__Palakkad,P,32713
Nanmanda__Kozhikode,P,27316
Nannambra__Malappuram,P,6984
Nannammukku__Malappuram,P,6221
Nanniyodu__Thiruvananthapuram,P,26930
Naranganam__Pathanamthitta,P,16452
Narath__Kannur,P,26769
Narikkuni__Kozhikode,P,24290
Narippatta__Kozhikode,P,26529
Nattika__Thrissur,P,19406
Navayikkulam__Thiruvananthapuram,P,40702
Nayarambalam__Ernakulam,P,24127
Nedumangad(M)__Thiruvananthapuram,M,60161
Nedumbassery__Ernakulam,P,31304
Nedumkandam__Idukki,P,41980
Nedumkunnam__Kottayam,P,21700
Nedumpana__Kollam,P,51384
Nedumpram__Pathanamthitta,P,12791
Nedumudi__Alappuzha,P,19701
Neduvathoor__Kollam,P,29627
Neelamperoor__Alappuzha,P,13514
Neendakara__Kollam,P,16976
Neendoor__Kottayam,P,19903
Nellanadu__Thiruvananthapuram,P,25981
Nellaya__Palakkad,P,36146
Nellikuzhy__Ernakulam,P,41181
Nelliyampathi__Palakkad,P,5545
Nenmanikkara__Thrissur,P,22002
Nenmara__Palakkad,P,36549
Nenmeni__Wayanad,P,11330
New Mahe__Kannur,P,16303
Neyyattinkara(M)__Thiruvananthapuram,M,70850
Nilambur(M)__Malappuram,M,46345
Nilamel__Kollam,P,15395
Nileswaram(M)__Kasaragod,M,39752
Niramaruthoor__Malappuram,P,5259
Niranam__Pathanamthitta,P,13445
Njarakkal__Ernakulam,P,23760
Njeezhoor__Kottayam,P,17640
Nochad__Kozhikode,P,26857
Noolpuzha__Wayanad,P,6510
Nooranadu__Alappuzha,P,25375
North Paravoor(M)__Ernakulam,M,31503
Ochira__Kollam,P,28412
Okkal__Ernakulam,P,24186
Olavanna__Kozhikode,P,68432
Omalloor__Pathanamthitta,P,17611
Omassery__Kozhikode,P,35009
Onchiyam__Kozhikode,P,28650
Ongalloor__Palakkad,P,43271
Oorakam__Malappuram,P,12589
Orumanayoor__Thrissur,P,11688
Othukkungal__Malappuram,P,7084
Ottappalam(M)__Palakkad,M,53792
Ottasekharamangalam__Thiruvananthapuram,P,18794
Ottoor__Thiruvananthapuram,P,16085
Ozhur__Malappuram,P,6277
Padanna__Kasaragod,P,22134
Padinjarathara__Wayanad,P,5788
Padiyoor__Kannur,P,21524
Padiyoor__Thrissur,P,18745
Paingottoor__Ernakulam,P,15441
Paivalike__Kasaragod,P,34274
Pala(M)__Kottayam,M,2256
Palakkad(M)__Palakkad,M,130955
Palakuzha__Ernakulam,P,13412
Palamel__Alappuzha,P,32556
Pallarimangalam__Ernakulam,P,14848
Pallasana__Palakkad,P,23729
Pallichal__Thiruvananthapuram,P,45219
Pallikkal__Malappuram,P,8970
Pallikkal__Pathanamthitta,P,41737
Pallikkal__Thiruvananthapuram,P,16900
Pallikkara__Kasaragod,P,43255
Pallikkathodu__Kottayam,P,17579
Pallipad__Alappuzha,P,24625
Pallippuram__Ernakulam,P,44042
Pallivasal__Idukki,P,17044
Pampadi__Kottayam,P,33004
Pampadumpara__Idukki,P,21172
Pampakkuda__Ernakulam,P,17672
Panachikkad__Kottayam,P,42701
Panamaram__Wayanad,P,10334
Panancheri__Thrissur,P,45963
Panangad__Kozhikode,P,33971
Pananthadi__Kasaragod,P,22976
Panavally__Alappuzha,P,31570
Panavoor__Thiruvananthapuram,P,20348
Panayam__Kollam,P,26825
Pandalam Thekkekara__Pathanamthitta,P,18366
Pandalam(M)__Pathanamthitta,M,41954
Pandanadu__Alappuzha,P,11489
Pandikkadu__Malappuram,P,10790
Pangod__Thiruvananthapuram,P,29039
Panjal__Thrissur,P,25024
Panmana__Kollam,P,50001
Pannyannoor__Kannur,P,22308
Panoor(M)__Kannur,M,57730
Pappinisseri__Kannur,P,35134
Parakkadavu__Ernakulam,P,29997
Paralam__Thrissur,P,24825
Parali__Palakkad,P,34451
Parappanangadi(M)__Malappuram,M,70903
Parappukkara__Thrissur,P,29659
Parappur__Malappuram,P,6554
Parassala__Thiruvananthapuram,P,52263
Parathodu__Kottayam,P,32864
Paravoor(M)__Kollam,M,37245
Pariyaram__Kannur,P,32878
Pariyaram__Thrissur,P,23070
Paruthoor__Palakkad,P,12170
Pathanamthitta(M)__Pathanamthitta,M,37538
Pathanapuram__Kollam,P,31660
Pathiyoor__Alappuzha,P,33925
Pattambi (M)__Palakkad,M,28632
Pattanakkad__Alappuzha,P,34620
Pattancherry__Palakkad,P,26018
Pattazhi Vadakkekkara__Kollam,P,15160
Pattazhi__Kollam,P,17718
Pattiom__Kannur,P,30502
Pattithara__Palakkad,P,33157
Pattuvam__Kannur,P,15659
Pavaratty__Thrissur,P,20676
Pavithreswaram__Kollam,P,31810
Payam__Kannur,P,28196
Payippad__Kottayam,P,23928
Payipra__Ernakulam,P,42682
Payyannur(M)__Kannur,M,72111
Payyavoor__Kannur,P,22998
Payyoli(M)__Kozhikode,M,49470
Pazhayakunnummel__Thiruvananthapuram,P,24608
Pazhayannoor__Thrissur,P,40256
Peerumedu__Idukki,P,21712
Peralasseri__Kannur,P,29107
Perambra__Kozhikode,P,32784
Peravoor__Kannur,P,23558
Perayam__Kollam,P,21236
Perinadu__Kollam,P,33955
Peringammala__Thiruvananthapuram,P,27667
Peringara__Pathanamthitta,P,21001
Peringom-Vayakkara__Kannur,P,29374
Peringottukurissi__Palakkad,P,25075
Perinjanam__Thrissur,P,21012
Perinthalmanna(M)__Malappuram,M,49723
Perumanna__Kozhikode,P,35460
Perumannaklari__Malappuram,P,4939
Perumatti__Palakkad,P,30445
Perumbavoor(M)__Ernakulam,M,28110
Perumkadavila__Thiruvananthapuram,P,23385
Perumpadappu__Malappuram,P,5876
Perumpalam__Alappuzha,P,9733
Peruvalloor__Malappuram,P,6411
Peruvanthanam__Idukki,P,15626
Peruvayal__Kozhikode,P,47700
Peruvembu__Palakkad,P,19312
Pilicode__Kasaragod,P,25122
Pinarayi__Kannur,P,33706
Pindimana__Ernakulam,P,16519
Piravanthoor__Kollam,P,33914
Piravom(M)__Ernakulam,M,27229
Pirayiri__Palakkad,P,41359
Polpulli__Palakkad,P,16500
Ponmala__Malappuram,P,6237
Ponmundam__Malappuram,P,4625
Ponnani(M)__Malappuram,M,90491
Pookkottukavu__Palakkad,P,14427
Pookkottur__Malappuram,P,7032
Poomangalam__Thrissur,P,12541
Poonjar Thekkekara__Kottayam,P,17588
Poonjar__Kottayam,P,12649
Poothadi__Wayanad,P,9800
Poothakulam__Kollam,P,29453
Poothrika__Ernakulam,P,21053
Poovachal__Thiruvananthapuram,P,43610
Poovar__Thiruvananthapuram,P,19628
Pooyappalli__Kollam,P,24447
Porkkulam__Thrissur,P,16339
Poroor__Malappuram,P,5907
Poruvazhy__Kollam,P,28722
Pothanikkad__Ernakulam,P,10221
Pothencodu__Thiruvananthapuram,P,29370
Pothukallu__Malappuram,P,6072
Poyya__Thrissur,P,22490
Pozhuthana__Wayanad,P,4256
Pramadam__Pathanamthitta,P,31251
Pulamanthol__Malappuram,P,7387
Pulikkal__Malappuram,P,7611
Pulimathu__Thiruvananthapuram,P,32293
Pulinkunnu__Alappuzha,P,20947
Puliyoor__Alappuzha,P,16668
Pullampara__Thiruvananthapuram,P,21817
Pullur-Periya__Kasaragod,P,29642
Pulpalli__Wayanad,P,8414
Pulpatta__Malappuram,P,7973
Punaloor(M)__Kollam,M,46702
Punnapra North__Alappuzha,P,28749
Punnapra South__Alappuzha,P,28377
Punnayoor__Thrissur,P,33368
Punnayoorkkulam__Thrissur,P,21416
Purakkad__Alappuzha,P,29782
Puramattom__Pathanamthitta,P,14069
Purameri__Kozhikode,P,27612
Purappuzha__Idukki,P,11836
Purathur__Malappuram,P,5787
Puthenchira__Thrissur,P,23375
Puthenvelikara__Ernakulam,P,28227
Puthige__Kasaragod,P,21823
Puthukkad__Thrissur,P,36722
Puthukkode__Palakkad,P,21642
Puthunagaram__Palakkad,P,17892
Puthupalli__Kottayam,P,29784
Puthupariyaram__Palakkad,P,39428
Puthuppadi__Kozhikode,P,42083
Puthur__Palakkad,P,26638
Puthusseri__Palakkad,P,51185
Puttoor__Thrissur,P,49284
Puzhakkattiri__Malappuram,P,5883
Rajakkad__Idukki,P,15198
Rajakumari__Idukki,P,16086
Ramamangalam__Ernakulam,P,14850
Ramanattukara(M)__Kozhikode,M,35937
Ramankari__Alappuzha,P,13332
Ramanthali__Kannur,P,25711
Ramapuram__Kottayam,P,29395
Ranni Angadi__Pathanamthitta,P,14855
Ranni Pazhavangadi__Pathanamthitta,P,24468
Ranni Perunnadu__Pathanamthitta,P,20561
Ranni__Pathanamthitta,P,13445
Rayamangalam__Ernakulam,P,36722
Santhanpara__Idukki,P,15632
Sasthamkotta__Kollam,P,33285
Seethathodu__Pathanamthitta,P,15773
Senapathi__Idukki,P,12529
Sholayur__Palakkad,P,17207
Shornur(M)__Palakkad,M,43533
Sooranadu North__Kollam,P,28471
Sooranadu South__Kollam,P,24766
Sreekandapuram(M)__Kannur,M,33489
Sreekrishnapuram__Palakkad,P,21873
Sreemoolanagaram__Ernakulam,P,25708
Sreenarayanapuram__Thrissur,P,37959
Sulthan Bathery(M)__Wayanad,M,45417
Thachampara__Palakkad,P,18087
Thachanattukara__Palakkad,P,26669
Thaikattussery__Alappuzha,P,20874
Thakazhi__Alappuzha,P,18826
Thalakkad__Malappuram,P,6883
Thalakulathur__Kozhikode,P,29388
Thalanad__Kottayam,P,7029
Thalappalam__Kottayam,P,13361
Thalasseri(M)__Kannur,M,92558
Thalavadi__Alappuzha,P,20459
Thalavoor__Kollam,P,34228
Thalayazham__Kottayam,P,20151
Thalayolaparambu__Kottayam,P,22571
Thalikkulam__Thrissur,P,25507
Thaliparambu(M)__Kannur,M,38474
Thamarassery__Kozhikode,P,35706
Thanalur__Malappuram,P,8844
Thanneermukkam__Alappuzha,P,42302
Thannithode__Pathanamthitta,P,13012
Thannyam__Thrissur,P,29238
Thanur(M)__Malappuram,M,69870
Thariyod__Wayanad,P,2734
Tharur__Palakkad,P,26178
Thavanoor__Malappuram,P,6924
Thavinjal__Wayanad,P,9257
Thazhakkara__Alappuzha,P,35989
Thazhava__Kollam,P,40571
Thazhekkod__Malappuram,P,7951
Theekoyi__Kottayam,P,10852
Thekkumbhagam__Kollam,P,16937
Thekkumkara__Thrissur,P,29511
Thenjippalam__Malappuram,P,6782
Thenkara__Palakkad,P,29527
Thenkurissi__Palakkad,P,27196
Thenmala__Kollam,P,23555
Thennala__Malappuram,P,5130
Thevalakkara__Kollam,P,42977
Thidanad__Kottayam,P,20752
Thikkodi__Kozhikode,P,27051
Thillankeri__Kannur,P,14583
Thirumaradi__Ernakulam,P,17585
Thirumittakode__Palakkad,P,31998
Thirunavaya__Malappuram,P,8484
Thirunelli__Wayanad,P,6902
Thirupuram__Thiruvananthapuram,P,18898
Thirur(M)__Malappuram,M,5658
Thirurangadi(M)__Malappuram,M,56632
Thiruvaali__Malappuram,P,6086
Thiruvalla(M)__Pathanamthitta,M,52883
Thiruvallur__Kozhikode,P,35598
Thiruvambadi__Kozhikode,P,28820
Thiruvananthapuram(C)__Thiruvananthapuram,C,966856
Thiruvaniyoor__Ernakulam,P,25171
Thiruvanvandoor__Alappuzha,P,14701
Thiruvarppu__Kottayam,P,29435
Thiruvengappura__Palakkad,P,33942
Thiruvilwamala__Thrissur,P,28544
Thodiyoor__Kollam,P,47607
Thodupuzha(M)__Idukki,M,42546
Tholikkodu__Thiruvananthapuram,P,25274
Tholoor__Thrissur,P,18431
Thondernadu__Wayanad,P,5280
Thottapuzhassery__Pathanamthitta,P,14469
Thrikkakkara(M)__Ernakulam,M,77319
Thrikkalangod__Malappuram,P,10415
Thrikkarippur__Kasaragod,P,38687
Thrikkaruva__Kollam,P,25432
Thrikkovilvattom__Kollam,P,61287
Thrikkunnapuzha__Alappuzha,P,26679
Thrikodithanam__Kottayam,P,35906
Thrikoor__Thrissur,P,27874
Thrippunithura(M)__Ernakulam,M,92550
Thriprangod__Malappuram,P,7821
Thriprangottur__Kannur,P,29911
Thrissur(C)__Thrissur,C,315957
Thrithala__Palakkad,P,27796
Thumpamon__Pathanamthitta,P,7566
Thuneri__Kozhikode,P,23421
Thuravoor__Alappuzha,P,28802
Thuravoor__Ernakulam,P,21468
Thurayur__Kozhikode,P,14176
Thuvvoor__Malappuram,P,7684
Trikkadeeri__Palakkad,P,26662
TV Puram__Kottayam,P,19511
Udayagiri__Kannur,P,18804
Udayamperoor__Ernakulam,P,39538
Udayanapuram__Kottayam,P,25612
Uduma__Kasaragod,P,37537
Udumpanchola__Idukki,P,14059
Udumpannoor__Idukki,P,23859
Ulikkal__Kannur,P,35429
Ulliyeri__Kozhikode,P,32509
Ummannoor__Kollam,P,33790
Unnikkulam__Kozhikode,P,49348
Upputhara__Idukki,P,26236
Urangattiri__Malappuram,P,8300
Uzhamalakkal__Thiruvananthapuram,P,21472
Uzhavoor__Kottayam,P,14339
Vadakara(M)__Kozhikode,M,75295
Vadakarapathy__Palakkad,P,26459
Vadakkancherri__Palakkad,P,35969
Vadakkancherri(M)__Thrissur,M,61341
Vadakkekara__Ernakulam,P,32745
Vadakkekkadu__Thrissur,P,26109
Vadanappilly__Thrissur,P,30184
Vadasserikkara__Pathanamthitta,P,21755
Vadavannoor__Palakkad,P,17126
Vadavucode Puthenkurissu__Ernakulam,P,24911
Vaikom(M)__Kottayam,M,23234
Vakathanam__Kottayam,P,33550
Vakkam__Thiruvananthapuram,P,16533
Valakom__Ernakulam,P,18308
Valancherri(M)__Malappuram,M,40318
Valapattanam__Kannur,P,7955
Valappad__Thrissur,P,35237
Valavannoor__Malappuram,P,6151
Valayam__Kozhikode,P,18374
Valiyaparampa__Kasaragod,P,12790
Vallachira__Thrissur,P,20233
Vallappuzha__Palakkad,P,28018
Vallathol Nagar__Thrissur,P,26133
Vallikkode__Pathanamthitta,P,20287
Vallikunnam__Alappuzha,P,30394
Vallikunnu__Malappuram,P,9859
Vamanpuram__Thiruvananthapuram,P,21038
Vandanmedu__Idukki,P,30567
Vandazhi__Palakkad,P,31929
Vandiperiyar__Idukki,P,40809
Vanimal__Kozhikode,P,25412
Vaniyamkulam__Palakkad,P,32050
Vannappuram__Idukki,P,28900
Varantharappilli__Thrissur,P,40892
Varapetty__Ernakulam,P,18529
Varapuzha__Ernakulam,P,26750
Varavoor__Thrissur,P,20045
Varkala(M)__Thiruvananthapuram,M,4048
Vathikudi__Idukki,P,27670
Vattamkulam__Malappuram,P,7454
Vattavada__Idukki,P,5697
Vayalar__Alappuzha,P,24804
Vazhakkad__Malappuram,P,7435
Vazhakkulam__Ernakulam,P,41521
Vazhappally__Kottayam,P,35800
Vazhathoppu__Idukki,P,19723
Vazhayoor__Malappuram,P,6468
Vazhikkadavu__Malappuram,P,9972
Vazhoor__Kottayam,P,25169
Vechoor__Kottayam,P,17041
Vechuchira__Pathanamthitta,P,21627
Veeyapuram__Alappuzha,P,11320
Velinalloor__Kollam,P,28864
Veliyam__Kollam,P,32030
Veliyamcod__Malappuram,P,6211
Veliyanad__Alappuzha,P,12501
Veliyannoor__Kottayam,P,11195
Vellamunda__Wayanad,P,8796
Vellanad__Thiruvananthapuram,P,31156
Vellangalloor__Thrissur,P,38243
Vellarada__Thiruvananthapuram,P,40206
Vellathooval__Idukki,P,25701
Vellavoor__Kottayam,P,17115
Vellinezhi__Palakkad,P,17101
Velliyamattam__Idukki,P,21440
Velloor__Kottayam,P,22785
Velom__Kozhikode,P,26738
Velookkara__Thrissur,P,29207
Veloor__Thrissur,P,27633
Vembayam__Thiruvananthapuram,P,38630
Vengad__Kannur,P,38606
Venganoor__Thiruvananthapuram,P,35963
Vengapalli__Wayanad,P,2676
Vengara__Malappuram,P,8506
Vengola__Ernakulam,P,50476
Vengoor__Ernakulam,P,21937
Venkidangu__Thrissur,P,25118
Venmony__Alappuzha,P,19932
Vettathur__Malappuram,P,5348
Vettikkavala__Kollam,P,36204
Vettom__Malappuram,P,6577
Vettoor__Thiruvananthapuram,P,18704
Vijayapuram__Kottayam,P,30838
Vilakudi__Kollam,P,32995
Vilappil__Thiruvananthapuram,P,36212
Vilavoorkal__Thiruvananthapuram,P,31761
Vilayoor__Palakkad,P,23389
Villiyappally__Kozhikode,P,34502
Vithura__Thiruvananthapuram,P,26249
Vorkady__Kasaragod,P,25756
Vythiri__Wayanad,P,4159
Wandoor__Malappuram,P,10239
West Eleri__Kasaragod,P,29316
West Kallada__Kollam,P,18176