name,S,E,I,H,R
Ajanur__Kasaragod,49153,0,0,0,0
Badiyaduka__Kasaragod,34207,0,0,0,0
Balal__Kasaragod,23670,0,0,0,0
Bedadka__Kasaragod,27868,0,0,0,0
Beloor__Kasaragod,10241,0,0,0,0
Chemmanad__Kasaragod,54747,0,0,0,0
Chengala__Kasaragod,56781,0,0,0,0
Cheruvathur__Kasaragod,27435,0,0,0,0
Delampadi__Kasaragod,22773,0,0,0,0
East Eleri__Kasaragod,25075,0,0,0,0
Enmakaje__Kasaragod,26824,0,0,0,0
Kallar__Kasaragod,19414,0,0,0,0
Kanjangad(M)__Kasaragod,73342,0,0,0,0
Karaduka__Kasaragod,21211,0,0,0,0
Kasaragod(M)__Kasaragod,54172,0,20,0,0
Kayyur-Chimeni__Kasaragod,23495,0,0,0,0
Kinanur-Karindalam__Kasaragod,27585,0,0,0,0
Kodom-Belur__Kasaragod,33211,0,0,0,0
Kumbadaje__Kasaragod,14772,0,0,0,0
Kumbala__Kasaragod,46691,0,0,0,0
Kuttikol__Kasaragod,24923,0,0,0,0
Madhur__Kasaragod,41463,0,0,0,0
Madikai__Kasaragod,22050,0,0,0,0
Mangalpady__Kasaragod,48441,0,0,0,0
Manjeswaram__Kasaragod,41515,0,0,0,0
Meencha__Kasaragod,23318,0,0,0,0
Mogral-Puthur__Kasaragod,24839,0,0,0,0
Muliyar__Kasaragod,25095,0,0,0,0
Nileswaram(M)__Kasaragod,39752,0,0,0,0
Padanna__Kasaragod,22134,0,0,0,0
Paivalike__Kasaragod,34274,0,0,0,0
Pallikkara__Kasaragod,43255,0,0,0,0
Pananthadi__Kasaragod,22976,0,0,0,0
Pilicode__Kasaragod,25122,0,0,0,0
Pullur-Periya__Kasaragod,29642,0,0,0,0
Puthige__Kasaragod,21823,0,0,0,0
Thrikkarippur__Kasaragod,38687,0,0,0,0
Uduma__Kasaragod,37537,0,0,0,0
Valiyaparampa__Kasaragod,12790,0,0,0,0
Vorkady__Kasaragod,25756,0,0,0,0
West Eleri__Kasaragod,29316,0,0,0,0