iName,1.0,2.0,3.0,4.0,5.0,6.0
Manikkal__Thiruvananthapuram,Manikkal__Thiruvananthapuram (36389.76),Thiruvananthapuram(C)__Thiruvananthapuram (654.5087087155772),Vembayam__Thiruvananthapuram (121.15693314059257),Pothencodu__Thiruvananthapuram (80.35752712404673),Nellanadu__Thiruvananthapuram (70.99166351725172),Nedumangad(M)__Thiruvananthapuram (63.757751847414134)
Maranalloor__Thiruvananthapuram,Maranalloor__Thiruvananthapuram (35358.72),Thiruvananthapuram(C)__Thiruvananthapuram (539.6332285952318),Neyyattinkara(M)__Thiruvananthapuram (164.40234387160606),Kattakada__Thiruvananthapuram (129.11232497713337),Malayinkeezhu__Thiruvananthapuram (109.27440402655023),Pallichal__Thiruvananthapuram (65.25783082980905)
Mudakkal__Thiruvananthapuram,Mudakkal__Thiruvananthapuram (35008.32),Thiruvananthapuram(C)__Thiruvananthapuram (397.32520947578433),Attingal(M)__Thiruvananthapuram (220.85976339705334),Nellanadu__Thiruvananthapuram (68.38182143205087),Mangalapuram__Thiruvananthapuram (62.89833133913488),Kizhuvilam__Thiruvananthapuram (57.33644068549579)
Nagaroor__Thiruvananthapuram,Nagaroor__Thiruvananthapuram (24125.920000000002),Karavaram__Thiruvananthapuram (438.7813046578583),Thiruvananthapuram(C)__Thiruvananthapuram (415.01956808768006),Attingal(M)__Thiruvananthapuram (205.6640133273953),Kilimanoor__Thiruvananthapuram (138.21088669152726),Pulimathu__Thiruvananthapuram (119.19150584829036)
Nanniyodu__Thiruvananthapuram,Nanniyodu__Thiruvananthapuram (25852.8),Thiruvananthapuram(C)__Thiruvananthapuram (402.5322409668556),Panavoor__Thiruvananthapuram (88.22693925484045),Nedumangad(M)__Thiruvananthapuram (85.92032197315842),Anad__Thiruvananthapuram (48.3573604809011),Pangod__Thiruvananthapuram (34.8405980686056)
Navayikkulam__Thiruvananthapuram,Navayikkulam__Thiruvananthapuram (39073.92),Thiruvananthapuram(C)__Thiruvananthapuram (284.1460848528268),Chemmaruthi__Thiruvananthapuram (144.8920236060792),Varkala(M)__Thiruvananthapuram (113.45461232411753),Karavaram__Thiruvananthapuram (100.40252355314367),Madavoor__Thiruvananthapuram (87.07532613697707)
Nedumangad(M)__Thiruvananthapuram,Nedumangad(M)__Thiruvananthapuram (57754.56),Thiruvananthapuram(C)__Thiruvananthapuram (1314.2867803279205),Anad__Thiruvananthapuram (234.42059542925494),Karakulam__Thiruvananthapuram (136.8738054737864),Aruvikkara__Thiruvananthapuram (90.80306776314009),Vembayam__Thiruvananthapuram (62.74967197951942)
Nellanadu__Thiruvananthapuram,Nellanadu__Thiruvananthapuram (23642.71),Thiruvananthapuram(C)__Thiruvananthapuram (715.5542266164379),Manikkal__Thiruvananthapuram (187.32052423623333),Vamanpuram__Thiruvananthapuram (178.81940300280272),Mudakkal__Thiruvananthapuram (154.63350155172947),Pulimathu__Thiruvananthapuram (92.12167086995662)
Neyyattinkara(M)__Thiruvananthapuram,Neyyattinkara(M)__Thiruvananthapuram (68016.0),Thiruvananthapuram(C)__Thiruvananthapuram (848.2982111949889),Balaramapuram__Thiruvananthapuram (213.22977130307112),Athiyannoor__Thiruvananthapuram (205.37181056855252),Perumkadavila__Thiruvananthapuram (179.83783982285283),Chenkal__Thiruvananthapuram (121.93430312837425)
Ottasekharamangalam__Thiruvananthapuram,Ottasekharamangalam__Thiruvananthapuram (17102.54),Thiruvananthapuram(C)__Thiruvananthapuram (524.6881248986441),Aryancodu__Thiruvananthapuram (190.52784261600223),Neyyattinkara(M)__Thiruvananthapuram (102.52930777439161),Kattakada__Thiruvananthapuram (101.58553764997528),Poovachal__Thiruvananthapuram (86.47873767054989)
Ottoor__Thiruvananthapuram,Ottoor__Thiruvananthapuram (14637.35),Manampoor__Thiruvananthapuram (199.07842983244774),Thiruvananthapuram(C)__Thiruvananthapuram (174.40091912734832),Chemmaruthi__Thiruvananthapuram (142.9420047533087),Varkala(M)__Thiruvananthapuram (111.60995873198848),Attingal(M)__Thiruvananthapuram (99.73151525282907)
Pallichal__Thiruvananthapuram,Pallichal__Thiruvananthapuram (41149.29),Thiruvananthapuram(C)__Thiruvananthapuram (2047.1301925893702),Kalliyoor__Thiruvananthapuram (303.412239416521),Malayinkeezhu__Thiruvananthapuram (251.247841153596),Neyyattinkara(M)__Thiruvananthapuram (222.53236779134832),Balaramapuram__Thiruvananthapuram (222.19201477364427)
Pallikkal__Thiruvananthapuram,Pallikkal__Thiruvananthapuram (15379.0),Thiruvananthapuram(C)__Thiruvananthapuram (298.03072643055833),Madavoor__Thiruvananthapuram (255.42415621904246),Navayikkulam__Thiruvananthapuram (192.7621048111345),Varkala(M)__Thiruvananthapuram (65.97380919710285),Chemmaruthi__Thiruvananthapuram (49.728561818360774)
Panavoor__Thiruvananthapuram,Panavoor__Thiruvananthapuram (18516.68),Thiruvananthapuram(C)__Thiruvananthapuram (660.0613910936498),Nedumangad(M)__Thiruvananthapuram (201.45191777148113),Anad__Thiruvananthapuram (165.6787797255608),Nanniyodu__Thiruvananthapuram (135.85327574168915),Pullampara__Thiruvananthapuram (72.13738809169654)
Pangod__Thiruvananthapuram,Pangod__Thiruvananthapuram (27877.44),Thiruvananthapuram(C)__Thiruvananthapuram (396.81406576139364),Kallara__Thiruvananthapuram (129.34796347593627),Nanniyodu__Thiruvananthapuram (48.807369200983395),Nedumangad(M)__Thiruvananthapuram (47.757288309145196),Pulimathu__Thiruvananthapuram (29.790253146894344)
Parassala__Thiruvananthapuram,Parassala__Thiruvananthapuram (47559.33),Thiruvananthapuram(C)__Thiruvananthapuram (1113.4184066481196),Neyyattinkara(M)__Thiruvananthapuram (506.4153068300578),Chenkal__Thiruvananthapuram (491.75520625897735),Karode__Thiruvananthapuram (438.0747888498453),Kollayil__Thiruvananthapuram (334.839494291996)
Pazhayakunnummel__Thiruvananthapuram,Pazhayakunnummel__Thiruvananthapuram (22393.28),Thiruvananthapuram(C)__Thiruvananthapuram (508.6618226652058),Pulimathu__Thiruvananthapuram (280.58346663051344),Kilimanoor__Thiruvananthapuram (237.19585311123177),Nagaroor__Thiruvananthapuram (106.99492047583605),Attingal(M)__Thiruvananthapuram (79.93946189836656)
Peringammala__Thiruvananthapuram,Peringammala__Thiruvananthapuram (27113.66),Thiruvananthapuram(C)__Thiruvananthapuram (235.9847976328597),Nedumangad(M)__Thiruvananthapuram (25.939944095255438),Nanniyodu__Thiruvananthapuram (19.27770808100535),Pangod__Thiruvananthapuram (19.244308930130778),Vithura__Thiruvananthapuram (16.88001445542398)
Perumkadavila__Thiruvananthapuram,Perumkadavila__Thiruvananthapuram (21280.35),Neyyattinkara(M)__Thiruvananthapuram (675.1592562556409),Thiruvananthapuram(C)__Thiruvananthapuram (441.77920363093074),Kunnathukal__Thiruvananthapuram (124.07687617575635),Kollayil__Thiruvananthapuram (93.18295033882767),Aryancodu__Thiruvananthapuram (81.4948517100184)
Poovachal__Thiruvananthapuram,Poovachal__Thiruvananthapuram (41865.6),Thiruvananthapuram(C)__Thiruvananthapuram (747.0910201698931),Kattakada__Thiruvananthapuram (207.59436722650878),Vilappil__Thiruvananthapuram (63.059698641267566),Neyyattinkara(M)__Thiruvananthapuram (60.09318315929043),Vellanad__Thiruvananthapuram (57.5471548724842)
Poovar__Thiruvananthapuram,Poovar__Thiruvananthapuram (17861.48),Kulathoor__Thiruvananthapuram (352.91171317530507),Thiruvananthapuram(C)__Thiruvananthapuram (299.6957865638733),Karumkulam__Thiruvananthapuram (259.45118155762486),Thirupuram__Thiruvananthapuram (136.60050742369685),Neyyattinkara(M)__Thiruvananthapuram (115.51708418644608)
Pothencodu__Thiruvananthapuram,Pothencodu__Thiruvananthapuram (26726.7),Thiruvananthapuram(C)__Thiruvananthapuram (1178.69142878236),Mangalapuram__Thiruvananthapuram (195.87008033706527),Andoorkonam__Thiruvananthapuram (180.3148144820241),Manikkal__Thiruvananthapuram (163.77350412714364),Kadinamkulam__Thiruvananthapuram (82.70122446739389)
Pulimathu__Thiruvananthapuram,Pulimathu__Thiruvananthapuram (31001.28),Thiruvananthapuram(C)__Thiruvananthapuram (311.4660755180158),Vamanpuram__Thiruvananthapuram (132.94139553891458),Pazhayakunnummel__Thiruvananthapuram (96.60560851135769),Nagaroor__Thiruvananthapuram (61.81633500198274),Attingal(M)__Thiruvananthapuram (58.78728146890071)
Pullampara__Thiruvananthapuram,Pullampara__Thiruvananthapuram (20944.32),Thiruvananthapuram(C)__Thiruvananthapuram (315.3918192720946),Manikkal__Thiruvananthapuram (51.471491929738804),Nedumangad(M)__Thiruvananthapuram (50.126198536557816),Kallara__Thiruvananthapuram (44.30753306918628),Nellanadu__Thiruvananthapuram (37.80694012598877)
Thirupuram__Thiruvananthapuram,Thirupuram__Thiruvananthapuram (17197.18),Thiruvananthapuram(C)__Thiruvananthapuram (324.4122193780965),Neyyattinkara(M)__Thiruvananthapuram (224.85148199566692),Athiyannoor__Thiruvananthapuram (130.93301483568368),Kanjiramkulam__Thiruvananthapuram (130.26502869371012),Poovar__Thiruvananthapuram (125.69797890664047)
Thiruvananthapuram(C)__Thiruvananthapuram,Thiruvananthapuram(C)__Thiruvananthapuram (947518.88),Karakulam__Thiruvananthapuram (2053.163920788684),Nedumangad(M)__Thiruvananthapuram (1662.77863605778),Vilavoorkal__Thiruvananthapuram (998.2134201026175),Neyyattinkara(M)__Thiruvananthapuram (833.9017515367017),Kalliyoor__Thiruvananthapuram (808.0621216108314)
Tholikkodu__Thiruvananthapuram,Tholikkodu__Thiruvananthapuram (24263.04),Thiruvananthapuram(C)__Thiruvananthapuram (414.68732954284974),Nedumangad(M)__Thiruvananthapuram (106.91697672678195),Uzhamalakkal__Thiruvananthapuram (52.014431212001185),Anad__Thiruvananthapuram (41.528632547972656),Aryanad__Thiruvananthapuram (31.21991569896436)
Uzhamalakkal__Thiruvananthapuram,Uzhamalakkal__Thiruvananthapuram (19539.52),Thiruvananthapuram(C)__Thiruvananthapuram (808.8640773927159),Nedumangad(M)__Thiruvananthapuram (216.0218609068524),Vellanad__Thiruvananthapuram (176.7499074728445),Tholikkodu__Thiruvananthapuram (78.55191441145246),Aruvikkara__Thiruvananthapuram (70.17067684673913)
Vakkam__Thiruvananthapuram,Vakkam__Thiruvananthapuram (15045.03),Anchuthengu__Thiruvananthapuram (436.9692197425735),Thiruvananthapuram(C)__Thiruvananthapuram (173.14813533904646),Kadakkavoor__Thiruvananthapuram (154.44259513845432),Attingal(M)__Thiruvananthapuram (87.13290786235338),Chirayinkeezhu__Thiruvananthapuram (68.16951469149332)
Vamanpuram__Thiruvananthapuram,Vamanpuram__Thiruvananthapuram (19144.58),Thiruvananthapuram(C)__Thiruvananthapuram (481.36999636295604),Pulimathu__Thiruvananthapuram (249.68093163680234),Nellanadu__Thiruvananthapuram (196.97218602717203),Kallara__Thiruvananthapuram (100.70886887612865),Mudakkal__Thiruvananthapuram (67.74806831620839)
Varkala(M)__Thiruvananthapuram,Varkala(M)__Thiruvananthapuram (36443.68),Thiruvananthapuram(C)__Thiruvananthapuram (550.5321754391222),Chemmaruthi__Thiruvananthapuram (483.4183167253648),Edava__Thiruvananthapuram (426.99094363395403),Vettoor__Thiruvananthapuram (328.3075107844382),Elakamon__Thiruvananthapuram (274.71077845230576)
Vellanad__Thiruvananthapuram,Vellanad__Thiruvananthapuram (28351.96),Thiruvananthapuram(C)__Thiruvananthapuram (1358.127463330476),Nedumangad(M)__Thiruvananthapuram (202.33061216310625),Aruvikkara__Thiruvananthapuram (196.65808775822788),Uzhamalakkal__Thiruvananthapuram (148.45006696663478),Vilappil__Thiruvananthapuram (113.92249825558277)
Vellarada__Thiruvananthapuram,Vellarada__Thiruvananthapuram (38597.76),Thiruvananthapuram(C)__Thiruvananthapuram (466.28282394727387),Kunnathukal__Thiruvananthapuram (211.48503041485688),Neyyattinkara(M)__Thiruvananthapuram (127.66059153949149),Aryancodu__Thiruvananthapuram (92.1746119853553),Amboori__Thiruvananthapuram (54.435227500753626)
Vembayam__Thiruvananthapuram,Vembayam__Thiruvananthapuram (37084.8),Thiruvananthapuram(C)__Thiruvananthapuram (876.5083298980131),Nedumangad(M)__Thiruvananthapuram (122.25468077387661),Manikkal__Thiruvananthapuram (95.72614920139794),Karakulam__Thiruvananthapuram (61.69426726931944),Pothencodu__Thiruvananthapuram (30.473693935497618)
Venganoor__Thiruvananthapuram,Venganoor__Thiruvananthapuram (32726.329999999998),Thiruvananthapuram(C)__Thiruvananthapuram (1559.1448284239984),Kalliyoor__Thiruvananthapuram (411.3749302981032),Kottukal__Thiruvananthapuram (175.46340814644097),Neyyattinkara(M)__Thiruvananthapuram (164.9079384429054),Pallichal__Thiruvananthapuram (156.1356009471873)
Vettoor__Thiruvananthapuram,Vettoor__Thiruvananthapuram (17020.64),Varkala(M)__Thiruvananthapuram (435.9383302082071),Thiruvananthapuram(C)__Thiruvananthapuram (210.4051907677496),Cherunniyoor__Thiruvananthapuram (208.52320094425866),Anchuthengu__Thiruvananthapuram (99.93578401781396),Vakkam__Thiruvananthapuram (80.44334873760673)
Vilappil__Thiruvananthapuram,Vilappil__Thiruvananthapuram (32952.92),Thiruvananthapuram(C)__Thiruvananthapuram (2048.8293057624883),Vilavoorkal__Thiruvananthapuram (133.4234639513312),Malayinkeezhu__Thiruvananthapuram (104.06618717064396),Aruvikkara__Thiruvananthapuram (103.59533954087331),Nedumangad(M)__Thiruvananthapuram (88.46882777325717)
Vilavoorkal__Thiruvananthapuram,Vilavoorkal__Thiruvananthapuram (28902.510000000002),Thiruvananthapuram(C)__Thiruvananthapuram (1988.9105950070457),Malayinkeezhu__Thiruvananthapuram (180.17578928672165),Vilappil__Thiruvananthapuram (98.52566625897089),Pallichal__Thiruvananthapuram (89.17684833255592),Neyyattinkara(M)__Thiruvananthapuram (48.81590496819535)
Vithura__Thiruvananthapuram,Vithura__Thiruvananthapuram (25724.02),Thiruvananthapuram(C)__Thiruvananthapuram (228.68856606783305),Nedumangad(M)__Thiruvananthapuram (27.339534427724033),Aryanad__Thiruvananthapuram (23.222335743459865),Tholikkodu__Thiruvananthapuram (22.18413352755757),Peringammala__Thiruvananthapuram (12.099758164801878)
