name,type,S,E,I,H,R,N
Amboori__Thiruvananthapuram,P,15920,0,2,0,0,15920
Anad__Thiruvananthapuram,P,31687,0,0,0,0,31687
Anchuthengu__Thiruvananthapuram,P,17396,0,0,0,0,17396
Andoorkonam__Thiruvananthapuram,P,30781,0,0,0,0,30781
Aruvikkara__Thiruvananthapuram,P,33396,0,0,0,0,33396
Aryanad__Thiruvananthapuram,P,26361,0,0,0,0,26361
Aryancodu__Thiruvananthapuram,P,24328,0,0,0,0,24328
Athiyannoor__Thiruvananthapuram,P,26973,0,0,0,0,26973
Attingal(M)__Thiruvananthapuram,M,37436,0,0,0,0,37436
Azhoor__Thiruvananthapuram,P,27390,0,0,0,0,27390
Balaramapuram__Thiruvananthapuram,P,36134,0,0,0,0,36134
Chemmaruthi__Thiruvananthapuram,P,32444,0,0,0,0,32444
Chenkal__Thiruvananthapuram,P,36544,0,0,0,0,36544
Cherunniyoor__Thiruvananthapuram,P,18114,0,0,0,0,18114
Chirayinkeezhu__Thiruvananthapuram,P,29907,0,0,0,0,29907
Edava__Thiruvananthapuram,P,25994,0,0,0,0,25994
Elakamon__Thiruvananthapuram,P,25307,0,0,0,0,25307
Kadakkavoor__Thiruvananthapuram,P,23155,0,0,0,0,23155
Kadinamkulam__Thiruvananthapuram,P,46476,0,0,0,0,46476
Kallara__Thiruvananthapuram,P,25844,0,0,0,0,25844
Kallikkad__Thiruvananthapuram,P,13553,0,0,0,0,13553
Kalliyoor__Thiruvananthapuram,P,40816,0,0,0,0,40816
Kanjiramkulam__Thiruvananthapuram,P,18821,0,0,0,0,18821
Karakulam__Thiruvananthapuram,P,52417,0,0,0,0,52417
Karavaram__Thiruvananthapuram,P,30660,0,0,0,0,30660
Karode__Thiruvananthapuram,P,32090,0,0,0,0,32090
Karumkulam__Thiruvananthapuram,P,28290,0,0,0,0,28290
Kattakada__Thiruvananthapuram,P,40448,0,0,0,0,40448
Kilimanoor__Thiruvananthapuram,P,20515,0,0,0,0,20515
Kizhuvilam__Thiruvananthapuram,P,32901,0,0,0,0,32901
Kollayil__Thiruvananthapuram,P,25077,0,0,0,0,25077
Kottukal__Thiruvananthapuram,P,33336,0,0,0,0,33336
Kulathoor__Thiruvananthapuram,P,32569,0,0,0,0,32569
Kunnathukal__Thiruvananthapuram,P,39414,0,0,0,0,39414
Madavoor__Thiruvananthapuram,P,21091,0,0,0,0,21091
Malayinkeezhu__Thiruvananthapuram,P,37068,0,0,0,0,37068
Manampoor__Thiruvananthapuram,P,23198,0,0,0,0,23198
Mangalapuram__Thiruvananthapuram,P,36956,0,0,0,0,36956
Manikkal__Thiruvananthapuram,P,37906,0,0,0,0,37906
Maranalloor__Thiruvananthapuram,P,36832,0,0,0,0,36832
Mudakkal__Thiruvananthapuram,P,36467,0,0,0,0,36467
Nagaroor__Thiruvananthapuram,P,26512,0,0,0,0,26512
Nanniyodu__Thiruvananthapuram,P,26930,0,0,0,0,26930
Navayikkulam__Thiruvananthapuram,P,40702,0,0,0,0,40702
Nedumangad(M)__Thiruvananthapuram,M,60161,0,0,0,0,60161
Nellanadu__Thiruvananthapuram,P,25981,0,0,0,0,25981
Neyyattinkara(M)__Thiruvananthapuram,M,70850,0,0,0,0,70850
Ottasekharamangalam__Thiruvananthapuram,P,18794,0,0,0,0,18794
Ottoor__Thiruvananthapuram,P,16085,0,0,0,0,16085
Pallichal__Thiruvananthapuram,P,45219,0,0,0,0,45219
Pallikkal__Thiruvananthapuram,P,16900,0,0,0,0,16900
Panavoor__Thiruvananthapuram,P,20348,0,0,0,0,20348
Pangod__Thiruvananthapuram,P,29039,0,0,0,0,29039
Parassala__Thiruvananthapuram,P,52263,0,0,0,0,52263
Pazhayakunnummel__Thiruvananthapuram,P,24608,0,0,0,0,24608
Peringammala__Thiruvananthapuram,P,27667,0,0,0,0,27667
Perumkadavila__Thiruvananthapuram,P,23385,0,0,0,0,23385
Poovachal__Thiruvananthapuram,P,43610,0,0,0,0,43610
Poovar__Thiruvananthapuram,P,19628,0,0,0,0,19628
Pothencodu__Thiruvananthapuram,P,29370,0,0,0,0,29370
Pulimathu__Thiruvananthapuram,P,32293,0,0,0,0,32293
Pullampara__Thiruvananthapuram,P,21817,0,0,0,0,21817
Thirupuram__Thiruvananthapuram,P,18898,0,0,0,0,18898
Thiruvananthapuram(C)__Thiruvananthapuram,C,966856,0,0,0,0,966856
Tholikkodu__Thiruvananthapuram,P,25274,0,0,0,0,25274
Uzhamalakkal__Thiruvananthapuram,P,21472,0,0,0,0,21472
Vakkam__Thiruvananthapuram,P,16533,0,0,0,0,16533
Vamanpuram__Thiruvananthapuram,P,21038,0,0,0,0,21038
Varkala(M)__Thiruvananthapuram,M,40048,0,0,0,0,40048
Vellanad__Thiruvananthapuram,P,31156,0,0,0,0,31156
Vellarada__Thiruvananthapuram,P,40206,0,0,0,0,40206
Vembayam__Thiruvananthapuram,P,38630,0,0,0,0,38630
Venganoor__Thiruvananthapuram,P,35963,0,0,0,0,35963
Vettoor__Thiruvananthapuram,P,18704,0,0,0,0,18704
Vilappil__Thiruvananthapuram,P,36212,0,0,0,0,36212
Vilavoorkal__Thiruvananthapuram,P,31761,0,0,0,0,31761
Vithura__Thiruvananthapuram,P,26249,0,0,0,0,26249